Site,grupos,#dist,Cerianthus lloydi,Burrowing Anthozoa ind,Turbellaria ind,Nematoda ind,Aphrodita aculeata,Aphroditidae ind,Harmothoe castanea,Harmothoe sp,Stenhelais limicola,Pholoe inornata,Anaitides groenlandica,Eteone flava,Nereimyra punctata,Nephtys longosetosa,Nephtys caeca,Nephtys sp,Glycera alba,Goniada maculata,Glycinde nordmanni,Lumbrineris fragilis,Lumbrineris sp,Scoloplos armiger,Spiophanes bombyx,Spiophanes kroyeri,Pseudopolydora antennata,Minuspio cirrifera,Scolelepis tridentata,Apistobranchus tullbergi,Levinsenia gracilis,Aricidea simonae,Cirratulus cirratus,Chaetozone setosa,Caulleriella sp,Tharyx sp,Cirratulidae ind,Ophelina acuminata,Ophelia borealis,Nicomache lumbricalis,Maldane sarsi,Maldanidae ind,Myriochele sp,Owenia fusiformis,Lagis koreni,Amphictene auricoma,Ampharete baltica,Ampharete finmarchica,Ampharete lindstroemi,Ampharete sp,Amphitrite cirrata,Anobothrus gracilis,Amphicteis gunneri,Samytha sexcirrata,Trichobranchus roseus,Phascolion strombi,Nymphon gracile,Copepoda ind,Vaunthompsonia cristata,Eudorella trunculata,Eudorellopsis deformis,Campylaspis rubicunda,Hemilamprops rosea,Diastylis lucifera,Hippomedon denticulatus,Tmetonyx cicada,Anonyx lilljeborgi,Scopelocheirus hopei,Tryphosites longipes,Ampelisca macrocephala,Perioculodes longimanus,Argissa hamatipes,Byblis gaimardi,Synchelidium maculatum,Westwoodilla caecula,Bathyporeia gracilis,Photis reinhardi,Corophium affine,Corophium crassicorne,Euphausidacea ind,Euthemisto sp,Pagurus bernhardus,Chaetoderma nitidulum,Natica poliana,Lunatia montagui,Colus gracilis,Retusa umbilicata,Philine quadrata,Philine scabra,Coryphella verrucosa,Antalis entalis,Nuculoma tenuis,Musculus niger,Arctica islandica,Tridonta montagui,Thyasira flexuosa,Montacuta substriata,Mysella bidentata,Parvicardium sp,Acanthocardia echinata,Spisula elliptica,Chamelea gallina,Timoclea ovata,Mysia undata,Abra prismatica,Phaxas pellucidus,Mya truncata,Luidia sarsi,Phoronis sp,Astropecten irregularis,Asteroidea ind,Amphiura filiformis,Ophiura affinis,Ophiura sarsi,Ophiura sp,Spatangus purpureus,Echinocardium flavescens,Pleurogonidae ind,Gattyana cirrosa,Magelona filiformis,Anomiidae sp,Tellimya feruginosa,Harmothoe fragilis,Eteone longa,Amphitritides gracilis,Lysilla loveni,Laonome kroyeri,Jassa marmorata,Jassa sp,Ampelisca brevicornis,Nothria conchylega,Virgularia mirabilis,Ophelina modesta,Paramphinome jeffreysi,Nephtys hombergi,Thyasira gouldii,Nereis zonata,Hyas coarctatus,Aonides paucibranchiata,Graphis albida,Spio filicornis,Golfingia sp,Chaetoporia nilssoni,Onchnesoma squamatum,Odostomia sp,Dosinia lupinus,Harmothoe impar,Eunicidae ind,Lysippides fragilis,Lucinoma borealis,Amphilocus spencebatei,Chone duneri,Neoamphitrite grayi,Alcyonium digitatum,Eulalia viridis,Hirudinea ind,Diastylis laevis,Tryphosella nanoides,Campylaspis costata,Menigrates sp,Prosobranch sp,Bivalvia ind,Capitella capitata,Idotea pelagica,Doridae ind,Parvicardium scabrum,Ophryotrocha sp,Diplocirrus glaucus,Eulalia trilineata,Mytilus edulis,Polychaeta ind,Cylichna cylindracea,Molgula sp,Eudorella emarginata,Nuculana minuta
S30,d,1,0,1,0,0,0,0,0,0,0,8,7,0,0,1,0,11,6,12,0,5,5,0,1,0,0,4,0,0,0,0,9,712,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,0,0,6,0,0,0,7,0,0,0,17,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,35,0,1,6,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,17,0,14,0,0,0,5,0,0,0,0,29,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0
S36,b,1,0,1,0,2,0,0,0,0,1,74,2,0,1,11,2,2,8,8,0,0,19,10,1,1,0,31,0,0,2,0,0,562,8,12,0,0,1,0,0,0,5,0,1,0,18,5,0,0,0,4,0,0,0,1,0,2,0,1,11,0,1,0,3,5,1,0,11,1,1,0,0,1,2,0,0,0,0,0,2,0,2,0,12,0,0,4,5,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,36,0,7,0,0,0,0,0,0,0,0,20,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S37,d,1,0,0,0,0,0,0,0,0,0,5,6,0,3,2,0,3,6,10,0,0,1,0,0,0,0,7,0,0,0,0,0,208,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,1,0,0,1,1,0,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,2,5,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,5,0,1,1,0,0,0,0,0
S31,b,1,0,2,0,1,0,0,0,0,4,58,4,0,2,2,0,3,17,17,0,3,5,2,0,0,0,42,1,0,8,0,0,269,1,1,0,0,0,0,0,0,7,1,1,0,18,1,0,0,0,5,0,0,1,0,0,8,0,0,9,0,1,0,2,5,1,0,13,6,0,0,1,0,1,0,0,0,0,0,0,0,5,0,9,0,0,5,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,28,0,9,0,0,1,2,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,3,0,0,0,0,6,0,0,1,3,0,0,0,0,0,0,0,0
S3,c,1,0,0,0,0,0,0,0,0,4,34,1,1,0,5,0,5,8,27,0,0,5,0,6,1,0,23,0,1,1,0,0,92,1,4,0,2,0,0,0,0,7,3,1,0,21,4,0,0,0,8,0,0,6,2,1,1,0,0,16,0,1,0,2,10,0,0,5,5,0,0,0,2,1,0,0,0,0,0,1,0,9,1,3,0,0,1,3,1,0,1,2,0,2,0,0,0,0,0,0,1,0,0,23,1,0,1,2,0,9,4,33,0,9,0,0,0,1,0,0,0,0,6,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S35,c,1,0,5,0,1,0,0,0,1,0,52,0,1,0,6,0,4,6,24,1,0,6,14,1,0,0,22,2,0,3,0,0,60,0,4,0,0,0,0,0,0,12,2,0,4,18,7,0,0,0,18,2,0,6,2,0,5,0,4,11,0,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,7,0,12,0,0,11,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,4,36,0,0,0,0,3,1,0,0,0,0,16,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S27,c,2,0,3,0,0,0,0,0,0,2,28,0,0,0,11,0,2,3,22,0,1,3,4,1,0,0,12,0,0,3,0,0,33,0,0,0,0,1,0,0,0,7,2,1,9,15,0,0,0,0,9,0,0,1,0,0,3,0,1,13,0,2,0,1,1,0,0,3,4,1,0,0,0,2,0,0,1,1,0,0,0,4,0,3,0,0,2,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,10,1,1,0,0,1,18,7,33,0,11,0,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S25,c,2,0,2,0,0,0,0,0,0,5,24,2,0,0,5,0,1,4,19,0,0,3,3,0,0,0,25,2,0,1,0,0,86,0,1,0,2,1,0,0,0,16,9,0,4,27,3,0,0,0,14,1,1,6,1,0,10,0,1,14,0,0,0,52,0,0,0,4,5,1,0,0,0,1,0,0,0,0,0,0,0,7,0,16,0,0,7,1,5,0,1,0,0,3,1,0,0,0,0,1,0,0,0,2,6,0,0,2,2,7,3,25,0,16,0,1,1,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S26,c,2,1,6,0,0,1,0,0,0,4,23,2,0,0,13,1,3,2,32,0,0,2,5,2,0,0,11,2,0,0,0,0,31,0,0,0,0,0,0,0,1,14,2,5,11,18,0,0,0,0,11,0,0,6,3,0,6,0,3,14,0,0,0,3,3,0,0,1,6,2,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,0,3,3,0,2,4,0,0,0,0,0,0,0,0,13,7,0,0,0,3,11,10,34,0,21,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S29,c,2,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,3,32,0,0,2,0,2,0,0,3,0,0,1,0,0,18,0,0,0,1,0,0,0,0,3,0,1,1,7,1,0,0,0,2,0,0,0,0,0,7,0,0,16,0,1,0,0,1,0,0,1,2,1,0,0,1,4,1,0,0,0,0,1,0,13,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,1,17,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
