site,Distance,THC,Redox,%Mud,Phi mean,Ba,Sr,Cu,Pb,Ni
S30,0.1,232,80,11.91,3.22,1967,587,97,65,14
S36,0.1,443,189,10.95,3.3,1997,509,8,43,10
S37,0.1,1896,85,12.29,3.18,1913,836,22,88,13
S31,0.15,251,124,7.58,3.11,1922,498,14,38,16
S3,0.25,17,142,4.94,3.07,3608,278,5,25,6
S35,0.25,56,153,8.3,3.05,3143,302,5,23,10
S27,0.33,32,150,3.48,2.96,3096,179,4,28,5
S25,0.45,57,168,6.2,3.1,4913,208,4,29,8
S26,0.5,39,213,4.34,2.97,2876,299,5,10,8
S29,0.5,61,130,3.36,2.9,2999,128,6,16,7
S32,0.5,251,158,5.02,3,2175,307,4,25,7
S38,0.5,127,132,5,2.99,2546,199,4,29,7
S28,1,15,99,3.08,2.91,2299,115,3,21,36
S33,1,38,126,5.86,3.22,2773,160,3,13,9
S34,1,19,198,4.67,2.98,2099,107,3,15,3
S39,1,25,203,4.86,3.01,2967,142,4,25,7
S4,1.1,18,119,3.73,3.07,1822,93,4,24,6
S24,1.3,13,143,3.22,3,1114,86,4,12,7
S23,1.4,9,25,4.78,2.96,898,75,2,6,5
S2,1.6,17,122,6.58,3.06,2077,102,3,19,19
S22,1.7,11,84,4.07,3.03,1940,114,3,14,7
S9,2.2,8,172,3.7,2.95,2749,129,3,16,7
S15,2.2,13,174,4.02,3.05,1395,92,4,15,4
S14,2.6,11,142,3.65,2.95,1381,91,3,15,8
S8,2.7,8,202,4.62,3.03,1427,92,3,12,7
S19,2.8,17,224,4.56,3,1755,97,3,18,5
S13,3,14,130,4.86,3.07,2411,114,3,15,8
S21,3.3,14,122,5.37,3.03,769,68,3,13,5
S18,3.6,10,240,5.68,3.01,1777,97,3,16,8
S1,3.7,8,120,6.12,3,403,54,2,10,4
S7,4.1,10,145,7.52,3.1,597,60,2,11,6
S12,4.1,13,178,4.3,2.94,2385,117,3,14,7
S20,4.8,13,188,4.41,3.07,619,68,2,11,4
S17,5.2,8,209,4.19,2.98,644,66,3,12,4
S11,5.9,13,132,4.85,3.05,747,66,2,9,6
S6,6.1,12,110,0.64,2.89,415,51,3,12,54
S16,7.7,9,179,3.16,2.83,436,62,3,12,5
S10,8,11,170,4.28,2.94,557,62,2,10,8
S5,8,8,143,2.93,2.92,329,64,2,10,7
