ID,sex,edad,sobreviv,AE,BHL,FL,TTL,SW,SKL,TL,WT,HL
1,m,a,T,241,31.2,16.9672,25.9588,14.9098,21.082,154,24.5,17.4498
2,m,a,F,240,31,17.8816,27.813,15.3924,21.5138,165,26.5,18.7452
3,m,a,F,245,32,18.0086,28.1686,15.5194,21.3868,160,26.1,18.6944
4,m,a,T,252,30.8,18.0086,29.972,15.2908,21.3614,160,26.9,18.6944
5,m,a,T,243,30.6,17.8816,29.2354,15.2908,21.4884,155,26.9,18.6182
6,m,a,F,249,32.3,18.2372,28.6512,15.2908,21.0312,161,25.6,18.8722
7,m,a,T,245,31.7,17.4752,29.1084,14.8336,21.3106,154,24.3,18.8214
8,m,a,F,246,32.3,18.0086,28.829,15.4178,22.0726,162,25.9,18.7452
9,m,a,T,247,31.5,17.9324,28.6766,14.605,20.8534,156,24.1,18.161
10,m,a,F,250,32.5,18.5674,30.4038,15.8242,22.5552,163,25.5,19.1008
11,m,a,T,253,31.8,18.8722,29.0576,15.4178,22.6822,161,26.5,19.812
12,m,a,F,247,31.8,18.2626,28.2702,15.1638,22.0726,162,27.6,18.5674
13,m,a,T,251,31.1,18.6944,29.2862,15.494,21.8948,157,24.6,18.8214
14,m,a,F,246,31.4,16.8148,27.2542,15.3416,21.2344,163,25.8,17.5006
15,m,a,T,247,31.4,18.2372,28.6004,15.4686,20.1422,159,24.2,18.4912
16,m,a,F,246,30.5,18.4404,28.9052,14.732,20.3962,161,24.9,18.7706
17,m,a,T,247,29.8,17.0942,27.4066,15.2908,20.828,158,23.6,17.8562
18,m,a,F,242,31,18.1102,28.067,15.24,20.3962,160,26,18.923
19,m,a,T,252,32,18.7706,29.2862,15.5956,21.7678,158,26.2,19.0246
20,m,a,F,246,31.5,17.6784,27.7368,15.3924,20.5486,162,26.5,18.288
21,m,a,F,249,31.4,17.5006,27.8638,15.2908,21.59,160,26,18.4404
22,m,a,T,252,32,18.3642,28.6766,15.8496,22.6568,160,26.2,18.8214
23,m,a,F,250,31.6,18.0594,28.448,16.0274,21.6408,161,27.1,18.7198
24,m,a,T,253,32.3,19.1008,28.8036,16.0782,23.4442,162,24.8,19.4564
25,m,a,T,243,31.8,18.3388,28.6004,15.1638,22.6314,161,25.4,18.3134
